1710953441:475816,B000,1.0750,11.0000,11.0000,0.0000
1710953441:505809,B000,1.0750,11.0000,11.0000,0.0000
1710953441:635818,B000,1.0750,11.0000,11.0000,0.0000
1710953441:665821,B000,1.0750,11.0000,11.0000,0.0000
1710953441:895833,B000,1.0750,11.0000,11.0000,0.0000
1710953441:925837,B000,1.0750,11.0000,11.0000,0.0000
1710953442:55845,B000,1.0750,11.0000,11.0000,0.0000
1710953442:85848,B000,1.0750,11.0000,11.0000,0.0000
1710953442:132463,B003,25.2857,23.5887,25.4818
1710953442:245859,B000,1.0750,11.0000,11.0000,0.0000
1710953442:315866,B000,1.0750,11.0000,11.0000,0.0000
1710953442:475882,B000,1.0750,11.0000,11.0000,0.0000
1710953442:505881,B000,1.0800,11.0000,11.0000,0.0000
1710953442:635887,B000,1.0800,11.0000,11.0000,0.0000
1710953442:665887,B000,1.0750,11.0000,11.0000,0.0000
1710953442:895907,B000,1.0750,11.0000,11.0000,0.0000
1710953442:925911,B000,1.0800,11.0000,11.0000,0.0000
1710953443:55918,B000,1.0750,11.0000,11.0000,0.0000
1710953443:85917,B000,1.0750,11.0000,11.0000,0.0000
1710953443:132548,B003,25.2571,23.5745,25.4636
1710953443:245970,B000,1.0750,11.0000,11.0000,0.0000
1710953443:315940,B000,1.0750,11.0000,11.0000,0.0000
1710953443:475957,B000,1.0750,11.0000,11.0000,0.0000
1710953443:505946,B000,1.0750,11.0000,11.0000,0.0000
1710953443:635957,B000,1.0750,11.0000,11.0000,0.0000
1710953443:665957,B000,1.0800,11.0000,11.0000,0.0000
1710953443:895975,B000,1.0750,11.0000,11.0000,0.0000
1710953443:925977,B000,1.0750,11.0000,11.0000,0.0000
1710953444:55987,B000,1.0750,11.0000,11.0000,0.0000
1710953444:86800,B000,1.0750,11.0000,11.0000,0.0000
1710953444:132638,B003,25.3143,23.5887,25.4818
1710953444:308533,B000,1.0750,11.0000,11.0000,0.0000
1710953444:324229,B000,1.0750,11.0000,11.0000,0.0000
1710953444:476014,B000,1.0750,11.0000,11.0000,0.0000
1710953444:506027,B000,1.0750,11.0000,11.0000,0.0000
1710953444:636041,B000,1.0750,11.0000,11.0000,0.0000
1710953444:666034,B000,1.0750,11.0000,11.0000,0.0000
1710953444:896049,B000,1.0750,11.0000,11.0000,0.0000
1710953444:926046,B000,1.0750,11.0000,11.0000,0.0000
1710953445:56055,B000,1.0750,11.0000,11.0000,0.0000
1710953445:86058,B000,1.0750,11.0000,11.0000,0.0000
1710953445:132811,B003,25.2857,23.5745,25.4636
1710953445:246069,B000,1.0750,11.0000,11.0000,0.0000
1710953445:316099,B000,1.0800,11.0000,11.0000,0.0000
